dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A9	multi	TrJGene	1
FLASH-seq	ZHA8833A9	multi	TranslatedUnprocessedPseudogene	1
FLASH-seq	ZHA8833A9	single	ProteinCoding	23725162
FLASH-seq	ZHA8833A9	single	lncRNA	3433045
FLASH-seq	ZHA8833A9	single	TEC	130810
FLASH-seq	ZHA8833A9	single	miRNA	99543
FLASH-seq	ZHA8833A9	single	ProcessedPseudogene	91012
FLASH-seq	ZHA8833A9	single	TranscribedProcessedPseudogene	44737
FLASH-seq	ZHA8833A9	single	TranscribedUnprocessedPseudogene	16008
FLASH-seq	ZHA8833A9	single	snoRNA	8176
FLASH-seq	ZHA8833A9	single	rRNA	3802
FLASH-seq	ZHA8833A9	single	UnitaryPseudogene	2399
FLASH-seq	ZHA8833A9	single	MtTrna	2044
FLASH-seq	ZHA8833A9	single	MiscRna	1798
FLASH-seq	ZHA8833A9	single	UnprocessedPseudogene	1361
FLASH-seq	ZHA8833A9	single	TranscribedUnitaryPseudogene	1076
FLASH-seq	ZHA8833A9	single	tRNA	697
FLASH-seq	ZHA8833A9	single	snRNA	576
FLASH-seq	ZHA8833A9	single	ribozyme	413
FLASH-seq	ZHA8833A9	single	scaRNA	202
FLASH-seq	ZHA8833A9	single	IgVGene	193
FLASH-seq	ZHA8833A9	single	MtRrna	128
FLASH-seq	ZHA8833A9	single	pseudogene	2
FLASH-seq	ZHA8833A9	single	TrCGene	1
FLASH-seq	ZHA8833A9	single	TrVGene	1
VASA own, 130 nt	001	multi	ProteinCoding	32867
VASA own, 130 nt	001	multi	lncRNA	24339
VASA own, 130 nt	001	multi	MiscRna	3361
VASA own, 130 nt	001	multi	snRNA	2046
VASA own, 130 nt	001	multi	miRNA	1862
VASA own, 130 nt	001	multi	ProcessedPseudogene	1572
VASA own, 130 nt	001	multi	rRNA	778
VASA own, 130 nt	001	multi	TranscribedProcessedPseudogene	627
VASA own, 130 nt	001	multi	snoRNA	524
VASA own, 130 nt	001	multi	UnprocessedPseudogene	433
VASA own, 130 nt	001	multi	TEC	396
VASA own, 130 nt	001	multi	TranscribedUnprocessedPseudogene	282
VASA own, 130 nt	001	multi	UnitaryPseudogene	86
VASA own, 130 nt	001	multi	TranscribedUnitaryPseudogene	74
VASA own, 130 nt	001	multi	tRNA	36
VASA own, 130 nt	001	multi	ribozyme	4
VASA own, 130 nt	001	multi	IgCGene	3
VASA own, 130 nt	001	multi	MtRrna	2
VASA own, 130 nt	001	multi	IgLvGene	1
VASA own, 130 nt	001	multi	IgVPseudogene	1
VASA own, 130 nt	001	multi	MtTrna	1
VASA own, 130 nt	001	multi	scaRNA	1
VASA own, 130 nt	001	single	ProteinCoding	34626
VASA own, 130 nt	001	single	lncRNA	5039
VASA own, 130 nt	001	single	snoRNA	695
VASA own, 130 nt	001	single	MiscRna	580
VASA own, 130 nt	001	single	ribozyme	558
VASA own, 130 nt	001	single	snRNA	301
VASA own, 130 nt	001	single	rRNA	120
VASA own, 130 nt	001	single	TEC	113
VASA own, 130 nt	001	single	miRNA	109
VASA own, 130 nt	001	single	ProcessedPseudogene	102
VASA own, 130 nt	001	single	TranscribedUnprocessedPseudogene	42
VASA own, 130 nt	001	single	scaRNA	33
